campaignid,opcode,family,genus,species,count,stage,caab_code
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Aracanidae,Anoplocapros,amygdaloides,1,AD,37466015
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Aracanidae,Aracana,aurita,1,AD,37466003
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Carangidae,Pseudocaranx,spp,7,AD,37337924
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Carcharhinidae,Carcharhinus,obscurus,1,AD,37018003
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Gerreidae,Parequula,melbournensis,16,AD,37349001
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Mullidae,Upeneichthys,vlamingii,1,AD,37355029
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Myliobatidae,Myliobatis,tenuicaudatus,3,AD,37039001
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Neosebastidae,Neosebastes,pandus,1,AD,37287003
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Platycephalidae,Platycephalus,spp,2,AD,37296913
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Sparidae,Chrysophrys,auratus,2,AD,37353001
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Trygonorrhinidae,Trygonorrhina,dumerilii,2,AD,37027011
2024-04_Geographe_stereo-BRUVs,GB-BV-001,Urolophidae,Trygonoptera,mucosa,1,AD,37038015
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Apogonidae,Ostorhinchus,rueppellii,3,AD,37327040
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Aracanidae,Anoplocapros,amygdaloides,1,AD,37466015
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Aracanidae,Anoplocapros,lenticularis,1,AD,37466010
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Carangidae,Pseudocaranx,spp,5,AD,37337924
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Gerreidae,Parequula,melbournensis,10,AD,37349001
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Labridae,Coris,auricularis,7,AD,37384088
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Labridae,Eupetrichthys,angustipes,1,AD,37384105
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Loliginidae,Sepioteuthis,australis,2,AD,23617005
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Monacanthidae,Acanthaluteres,spp,8,AD,37465905
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Monacanthidae,Unknown,spp,3,AD,37465903
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Mullidae,Upeneichthys,vlamingii,1,AD,37355029
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Myliobatidae,Myliobatis,tenuicaudatus,1,AD,37039001
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Platycephalidae,Platycephalus,spp,1,AD,37296913
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Sparidae,Chrysophrys,auratus,10,AD,37353001
2024-04_Geographe_stereo-BRUVs,GB-BV-002,Trygonorrhinidae,Trygonorrhina,dumerilii,2,AD,37027011
2024-04_Geographe_stereo-BRUVs,GB-BV-003,Aracanidae,Anoplocapros,amygdaloides,1,AD,37466015
2024-04_Geographe_stereo-BRUVs,GB-BV-003,Aracanidae,Aracana,aurita,1,AD,37466003
2024-04_Geographe_stereo-BRUVs,GB-BV-003,Carangidae,Pseudocaranx,spp,4,AD,37337924
2024-04_Geographe_stereo-BRUVs,GB-BV-003,Gerreidae,Parequula,melbournensis,3,AD,37349001
2024-04_Geographe_stereo-BRUVs,GB-BV-003,Myliobatidae,Myliobatis,tenuicaudatus,1,AD,37039001
2024-04_Geographe_stereo-BRUVs,GB-BV-003,Platycephalidae,Platycephalus,spp,7,AD,37296913
2024-04_Geographe_stereo-BRUVs,GB-BV-003,Urolophidae,Trygonoptera,spp,1,AD,37038902
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Apogonidae,Ostorhinchus,rueppellii,8,AD,37327040
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Arripidae,Arripis,georgianus,7,AD,37344001
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Carangidae,Trachurus,novaezelandiae,5,AD,37337003
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Dasyatidae,Bathytoshia,brevicaudata,1,AD,37035001
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Gerreidae,Parequula,melbournensis,1,AD,37349001
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Monacanthidae,Acanthaluteres,spp,3,AD,37465905
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Monacanthidae,Meuschenia,freycineti,1,AD,37465036
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Monacanthidae,Scobinichthys,granulatus,4,AD,37465007
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Myliobatidae,Myliobatis,tenuicaudatus,1,AD,37039001
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Nemipteridae,Pentapodus,vitta,1,AD,37347022
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Sparidae,Chrysophrys,auratus,1,AD,37353001
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Terapontidae,Pelates,octolineatus,25,AD,37321020
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Tetraodontidae,Lagocephalus,sceleratus,3,AD,37467007
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Tetraodontidae,Torquigener,pleurogramma,1,AD,37467030
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Trygonorrhinidae,Trygonorrhina,dumerilii,1,AD,37027011
2024-04_Geographe_stereo-BRUVs,GB-BV-004,Urolophidae,Trygonoptera,ovalis,1,AD,37038016
2024-04_Geographe_stereo-BRUVs,GB-BV-005,Aracanidae,Anoplocapros,lenticularis,1,AD,37466010
2024-04_Geographe_stereo-BRUVs,GB-BV-005,Aracanidae,Aracana,aurita,1,AD,37466003
